category,city,company_name,geo,job_board,job_description,job_title,job_type,post_date,salary_offered,state,url,average_salary,Salary
Engineering,Melbourne,Hays Engineering,AU,seek," Chance to join a consultancy with a difference. Modern offices, high performance culture & excellent salary This industrious engineering consultancy value socially responsibility and thoughtful building design to ensure the highest levels of occupant comfort, sustainability and commercially viability. Their collaborative approach ensures transparency, high targets and impressive career rewards. The structural section of the business is thriving; we seek a commercially savvy Project Engineer to join the Structural team on a permanent basis. The ongoing focus of the role is end to end project management and design & documentation of a range of projects in the commercial, retail, education, data centre and retail sector. The successful candidate will have at least 3 years local design consultancy experience. Your experience will ideally be working on commercial and industrial projects and you will be comfortable using current design software such as SpaceGass and Structural Toolkit. The ideal candidate will be inquisitive, and when required seek innovation to achieve high levels of customer satisfaction. This is a work hard, play hard consultancy who has recently been awarded an employer of choice. If you are looking for a new role in a vibrant and upbeat consultancy with some degree of flexibility, this is a super opportunity. For more information on this or any other senior position, please call Robert Horton on 03 9642 4066 or send your C.V. to robert.horton@hays.com.au ",Senior Structural Engineer - Top Consultancy,Full Time,2018-04-13T06:36:59Z,$90k - $120k p.a.,CBD & Inner Suburbs,https://www.seek.com.au/job/35983219,105,105000
Engineering,Melbourne,Spring Professional Ltd,AU,seek," THE COMPANY: Spring Professional are currently working with a growing global Design, Engineering and Manufacturing consultancy that specialises in automotive applications and future technologies. Due to their continued year on year growth, they are now looking to add an Electrical Hardware Manager to their already successful team. This highly technically advanced company are a global leader in future technologies and have recently been granted funding for future research and development. THE PERSON: Joining this already established team as the Electrical Hardware Manager you are will be responsible for; Directly accountable for EMC and other electrical DVPR outcomes. Take ownership and execute all assigned project activities in the time allocated. Resolution of supplier Design for Manufacturability (DFM), Design for Test (DFM), and BOM issues. Develop hardware designs including component placement, track routing and schematic capture Create and approve the release of hardware designs, Bill of Material (BOM) and drawings. Provide training and mentoring to junior engineers, and technical training to Engineering, Sales, Management and other staff. YOU WILL HAVE: The successful Electrical Hardware Manager will have experience in; Degree educated in Electronics or other relevant qualification 10 years + Industry experience in Electrical Engineering Evident project management/leadership experience A thorough understanding of the product development lifecycle and associated processes Previously worked in the Automotive industry Extensive exposure and experience in embedded electronic design, from concept to design, implementation, production and support. TO APPLY: For a confidential conversation, please get in touch on 0429 002 327 or please click apply and I will be in touch. Every application is valued, and we will let you know the outcome of your application (positive or negative) via phone or e-mail. If you would like clarity on any decisions, we are more than happy to provide feedback on your application. ",Electrical Hardware Manager,Full Time,2018-04-16T04:28:27Z,$100k - $120k p.a. + + Package,Bayside & South Eastern Suburbs,https://www.seek.com.au/job/35994576,110,73333.33333
Construction,Melbourne,Hays Facilities Management,AU,seek," A Project Manager job delivering new build, fitout and refrub projects across Victoria. Your new company Are you an experienced and professional Project Manager? An immediate opportunity has become available for a Project Manager with a high profile government organisation in Melbourne. This position sits in the major projects team and is responsible for delivering a large portfolio of projects across Victoria. Your new role As a key member of the major projects team you will be required to deliver new build, refurb and fitout projects from conception to completion which includes but not limited to developing project briefs, seeking relevant approvals, engaging contractors/consultants, reporting on project milestones, liaising with internal and external stakeholders, managing variations that arise and overall delivery of projects. What you'll need to succeed To be successful you will have proven project management experience delivering building related projects and ideally within the government sector. You will be proactive, use initiative and have the ability to think outside the square. Superior communication skills both written and verbal is key for success in this role. What you'll get in return On offer is an exciting long term contract role with a government organisation that is well respected across the state. This organisation offers work life balance and a generous hourly rate. What you need to do now If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or send direct to tennille.hooper@hays.com.au now. If this job isn't quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career. ",Project Manager,Contract/Temp,2018-04-16T00:25:07Z,52,Eastern Suburbs,https://www.seek.com.au/job/35990484,52,83200
Real Estate & Property,Sydney,Gough Property & Real Estate Recruiters,AU,seek,"Back in the 1980â€™s, Strata was not a common term nor a common job. Our client's Philosophy is to take action and make sense of individuals property needs.Â  The Role:Â  They are a successful boutique Strata Management agency based in Sydney's WESTÂ  this established agency is committed to personalised service and exceeding client expectations. They require the services of a Client Liaison Officer to join their incredibly successful company. In this role some of your duties will include: General Administrative duties Liaising with clients by telephone and solving enquirers on a first instant basisÂ  Client Projects as directed from Strata ManagersÂ  Support 1 Strata Manager Type Minutes / Agendas Issuing Key's to Contractors, Owners &amp; Tenants Assisting Clients with their Enquiries Strata Administration Understanding of Strata The candidate:Â  Possess Excellent Communication Skills You must have 6 Months experience in the strata industryÂ  HaveÂ  Strong Attention to Detail with the Ability to Multi Task Have a High Level of Computer Skills Energy, integrity &amp; drive to succeedÂ  Bilingual applicants encouragesÂ  Strong administration experience is a mustÂ  The successful candidate will receive full training and support from some of the best in the business. There will also be an opportunity for you to progress into a Strata Manager role in the future as this company is big fans of promoting internally. How to Apply: Apply for this exciting career opportunity now! Please email your CV toÂ Georgia Barton onÂ gbarton@goughrecruitment.com.au or for more information call onÂ 02 9362 8500Â orÂ 0426 825 564.Â  ",Strata Assistant - Parramatta Area,Full Time,2018-04-12T06:15:31Z,$55K + Super!,Parramatta & Western Suburbs,https://www.seek.com.au/job/35971301,55,55000
Information & Communication Technology,Brisbane,TEKsystems,AU,seek," We are excited to be partnering with one of Australias leading retailers. Our client is an innovator in their space and are continuing to push the boundaries of innovation. As such, I am looking for a .NET Software Developer with 3+yrs experience that has a proven track record of taking initiative and thinking outside the box! If you thrive in an open and collaborative culture, are outgoing with a BIG personality - then I would love to have a chat with you and see if this is the perfect opportunity for you! You will need demonstrated extensive experience and knowledge in: HTML and CSS frameworks SQL Server Experience Good understanding of object oriented software development Strong understanding of and experience using relational databases Experience across multiple languages and platforms You can email Kelly.moore@teksystems.com or call Kelly Moore in our Brisbane office on (07) 3295 7423. Alternatively, apply here to register your interest. Note that these roles are only open to Permanent Residents, Australian Citizens and candidates that have Full Working Rights. People are at the heart of every successful business initiative. At TEKsystems (formerly Talent2), we understand people. Our deep insights into human capital management enable us to help our clients achieve their business goals - while optimising their IT workforce strategies. TEKsystems is an Allegis Group company. Allegis Group is the global leader in talent solutions with over 15,000 employees, 500 locations, 130,000 contractors and $12B in revenue ",.NET Software Developer,Full Time,2018-04-16T04:26:37Z,$80-90 k + super,Southern Suburbs & Logan,https://www.seek.com.au/job/35994556,85,56666.66667
Government & Defence,Sydney,"Randstad - Sales, Marketing & Communications",AU,seek," Our client, a NSW Government Department are looking for a Senior Marketing and Communications Advisor for an immediate start. This role is responsible for developing and implementing marketing and communications programs and for developing implementing and coordinating marketing plans for marketing campaigns to inform, motivate and influence customers to support corporate objectives. Key accountabilities Brand management to provide a single and consistent narrative across the organisation Contribute to the development and implementation of the overarching marketing and communications strategy (including social media, research, advertising, digital marketing etc) Lead the development and implementation of marketing and communications plans and campaigns (includingsocial media, research, advertising, digital marketing, brand management etc) to inform customers about services and the customerâ€™s role in the service delivery process Project and campaign management across change and marketing functions (including review of project documents) to ensure timely and cost effective delivery of communication functions Copywriting for collateral and writing for business reporting ensuring a consistent editorial style across services and channels Provide advice, reports, campaign reports, strategic advice and support to the manager as required Participate in project delivery activities in order to deliver accurate project communications Relationship management of vendors and stakeholders to deliver accurate, timely and cost effective communication outcomes Development of appropriate merchandise and collateral to support digital integration to provide a consistent voice Work closely with the Corporate Relations team in coordinating a communications approach to ensure consistency and accuracy Essential requirements Demonstrated broad experience across senior marketing and communications roles. A high level understanding of government communications will be preferred Proven experience working in a lead communications and marketing role on large transformation projects, preferably with digital and customer outcomes focus Strong oral and written communication skills, especially developing and executing integrated business andmarketing communications strategies and plans Ability to work weekends if required ",Snr Marketing & Communications Officer,Contract/Temp,2018-04-13T07:02:43Z,$55 - $65 p.h. + Super,"CBD, Inner West & Eastern Suburbs",https://www.seek.com.au/job/35983800,60,96000
"Manufacturing, Transport & Logistics",Sydney,Australian Personnel Solutions,AU,seek," Our client, a large cold storage logistics company in Blacktown, areÂ currently seeking reliable people for their packing area. Working in a fast paced packing environment you will be required to pack desert products into boxes, labelling of products and re pack work. To be Successful for one of these roles you MUST have: Own transport Ability to start immediately Previous pack/repack/assembly experience ""Can do"" attitude Ability to work in a cold storage environment (3-5 Degrees) Contactable references If you are looking for a long term job opportunity please forward your updated resume by clicking on the APPLY NOW button below. * Only successful applicants will be contacted* ",Pick Packers - Blacktown,Contract/Temp,2018-04-16T06:37:09Z,$24.73 per hour,Parramatta & Western Suburbs,https://www.seek.com.au/job/35996979,48.5,77600
Accounting,Perth,Walker Andersen,AU,seek,This well-established ASX listed organisation require an experienced Accounts Receivable Officer to join the team ASAP. You must have high attention to detail and be confident with a high volume data entry position.Â  Duties: Data entry of invoices Cash receipting Bank reconciliations Journal transfers Credit card payments Collection calls &amp; emails Setting up debtor accounts Prepping of BAS Skills &amp; Experience Required: Several years AR experience including high vol data entry Large ERP experience is preferred but not essential Intermediate MS Excel skills Good communication skills High accuracy ,Accounts Receivable Officer,Full Time,2018-04-11T03:15:57Z,$28-30p/h + Super,Northern Suburbs & Joondalup,https://www.seek.com.au/job/35957370,29,46400
Trades & Services,Perth,RecruitWest,AU,seek,"RecruitWest hasÂ exciting opportunitiesÂ forÂ Boilermakers / WeldersÂ for aÂ 2 &amp; 1 FIFO roster located in theÂ North West andÂ Goldfields locations.Â These roles are available for an immediate start and you will be responsible for the maintenance and repair on allÂ surface mining mobile equipment. Our client is one of the mining sectors leading contracting companies, working on many of the key projects within the resource sector. They offer long term roles with opportunities for career progression and permanent employment. We are looking for boilermakers with the following skills and experience: Â  Boilermaker Trade qualifications (Australian) Working at Heights ticket WA HR drivers Licence (minimum) Previous experience in the maintenance and repair to mining earthmoving machines, specifically Komatsu, Hitachi and CAT as well as fixed plant equipment Ability to pass pre-employment Medical and Drug &amp; Alcohol testing Previous remote work experience If you areÂ interested in these great positions, please call Veronica onÂ 08 9368 9814Â or clickÂ APPLY NOW SK937573A Â  ",Boilermaker / Welder,Contract/Temp,2018-04-12T07:33:09Z,$46 - $49 per hour,"CBD, Inner & Western Suburbs",https://www.seek.com.au/job/35972629,47.5,76000
Human Resources & Recruitment,Melbourne,sportsbet.com.au,AU,seek," Head of Talent Leading a super passionate OD team whose core focus is to build Sportsbetâ€™s future capability. You will lead and engage your team to design and execute a talent Strategy to enable our purpose of bringing excitement to life. You get to do this in an environment where your thought leadership in this space is truly valued and willingness to do it in a way that is different is welcomed. â€¢ Make your mark through shaping the organisational capability at Sportsbet â€¢ Create Sportsbet as the destination for Talent â€¢ Continue your own development journey by working on unique projects and being part of a talented leadership team Company Sportsbet is Australiaâ€™s leading online wagering company. We're part of a global company, a big player with a start-up soul. The pace of change is exhilarating, weâ€™re constantly innovating to bring excitement to life for our customers and our people. Perks: â€¢ Free brekky, discounted gym memberships, loads of event tickets â€¢ Tailored career development programs, as well as a commitment to developing Thought Leader and Specialist Talent programs â€¢ Best in class Parental Leave program with six months paid leave for Primary Carers TEAM: You will be part of the HR Leadership Team, reporting to GM HR. You will also be part of a broader Customer and People team JOB â€¢ Lead a team of seasoned organisational development professionals â€¢ Design and lead the delivery of the talent strategy that ensures Sportsbet has the right capacity, culture and capability to deliver our purpose â€¢ Identify and drive innovative approaches to delivering high-quality, fit for purpose strategies for talent programs. â€¢ Accountability for the Implementation and management of programs to engage, recruit and develop critical future skills and emerging talent into our business. â€¢ Provide thought leadership to progressive talent approaches that will support the acquisition and development of talent and ensure that Sportsbet is proactively planning for the capabilities that deliver on our purpose â€¢ Deliver on the development of our leaders to support our culture aspiration â€¢ Deploy an employer brand strategy that positions Sportsbet in the market as the destination for talent. â€¢ Develop and deploy a core development strategy to engage and facilitate career development IS THIS ROLE FOR ME? â€¢ Strategic and conceptual thinker with an authentic and adaptive leadership style â€¢ Non-traditional thinker â€“ led by commercial outcomes enabled by people rather than policy â€¢ Outcomes focused â€“ ensuring the greatest impact is achieved â€¢ Strong knowledge, skills and experience across the breadth of Strategy development and implementation, Talent Development and acquisition, OD Frameworks, models, assessments and methodologies within innovative environments. â€¢ Articulate communicator, with demonstrated experience to influence stakeholders to innovative outcomes WHATâ€™S NEXT ONCE YOU APPLYâ€¦FIND OUT HERE: At Sportsbet, we take Responsible Gambling very seriously. Check out the tools and information we provide our customers to help manage their gambling on our dedicated site at www.responsiblegambling.sportsbet.com.au ",Head of Talent,Full Time,2018-04-15T20:00:50Z,+ 5 Weeks Annual Leave + Company Bonus,CBD & Inner Suburbs,https://www.seek.com.au/job/35988159,5,250000
